Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Bahamas, The",BHS,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3718,0.3736,0.3755,0.3774,0.379,0.3787,0.3804,0.3896,0.3919,0.4299,0.4354,0.4236,0.4377,0.4358,0.4124,0.4185,0.4196,0.4009,0.312,0.3055,0.30128,,
Belarus,BLR,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.9514,1.9228,1.8942,1.8656,1.837,1.8108,1.7846,1.7584,1.7322,1.706,1.6744,1.6428,1.6112,1.5796,1.548,1.536666667,1.525333333,1.514,1.571,1.448,1.452,1.397,1.39,1.358,1.328,,
Belize,BLZ,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.0230891026,0.0261782051,0.0292673077,0.0323564103,0.0354455128,0.0385346154,0.0482046703,0.0578747253,0.0664997802,0.0751248352,0.0837498901,0.0923749451,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,,
Bermuda,BMU,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.299431818,1.358863636,1.418295455,1.477727273,1.537159091,1.596590909,1.656022727,1.715454546,1.774886364,1.834318182,1.89375,1.953181818,1.968252525,1.983323232,1.998393939,2.013464647,2.028535354,2.043606061,2.058676768,2.073747475,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,2.088,,
Brazil,BRA,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04,37.24333333,39.44666667,41.65,43.85333333,46.05666667,48.26,50.46333333,52.66666667,54.83,55.15,55.47,55.79,56.11,56.43,56.75,57.07,57.39,57.71,58.03,62.22,66.401,70.585875,74.77075,72.315625,69.8605,67.405375,65.022,63.86,66.31,65.68,66.5,67.44,67.19,,
Barbados,BRB,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,0.03,0.0315,0.033,0.0345,0.036,0.0375,0.039,0.0405,0.042,0.0435,0.045,0.0465,0.048,0.0495,0.051,0.0525,0.054,0.0555,0.057,0.0585,0.06,0.0615,0.063,0.0645,0.066,0.0675,0.069,0.0705,0.072,0.0735,0.075,0.0765,0.078,0.0795,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,
Brunei Darussalam,BRN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.0813333333,0.0866666667,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,,
Bhutan,BTN,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,0.3379,,
