Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,ATG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.95262391,19.90918617,19.86921529,19.83231216,19.79813665,19.76639712,19.73684211,19.08023483,18.46590909,17.88990826,17.16549296,16.83937824,16.3590604,15.90538336,15.47619048,15.5088853,15.53846154,15.56534508,15.58988764,15.61238223,15.63307494,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,15.65217391,,
Australia,AUS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4467169,69.48912015,66.95171026,69.85128436,69.73565091,69.618987,69.50127877,69.38251216,69.26267281,68.36149434,67.39490399,66.35551167,65.23477056,62.59364028,59.57407915,56.08847612,52.01991465,53.83321141,55.1139772,59.84768088,65.67753697,63.3583691,54.24120023,65.53727043,69.41419082,70.65830365,66.8328726,62.32283249,,
Austria,AUT,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,2.692837053,3.304107714,3.898476685,4.476635407,5.039238113,5.586904296,4.96516112,4.358817889,3.767309441,3.190097936,2.62667122,2.677017802,2.729332132,2.783731871,2.84034425,2.899307066,2.819601872,2.744161796,2.735333072,2.726504349,2.748553192,2.770961554,2.793738301,2.738467165,2.682180676,2.624850596,2.56644763,2.506941377,2.446300275,2.325226362,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,2.207840554,,
Azerbaijan,AZE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.46080731,70.12777207,75.04203174,75.5373534,74.80981814,73.94976786,64.9419167,56.44217914,58.03141456,58.20132244,63.28598795,62.33406977,65.55657532,66.52670362,65.80693181,69.93480033,69.6895585,73.53108507,72.17029665,73.07858835,74.24394319,71.23500116,69.7198667,91.14552143,91.09277656,92.08745875,92.3563738,92.24781573,92.32848398,,
Burundi,BDI,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,66.53225806,68.49642005,70.06437768,71.34502924,72.41071429,73.31136738,74.08256881,74.75035663,75.3342246,75.8490566,76.3064133,76.71541057,77.08333333,77.50855387,77.93849178,78.37322601,78.81283726,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,79.25740807,,
Belgium,BEL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,3.999778528,3.764012115,3.525500994,3.284196957,3.040050657,2.79301158,2.543028006,2.290046976,2.034014253,1.774874283,1.512570155,1.247043562,0.9782347526,0.7060824909,0.4305240076,0.1514949522,0.1787831455,0.2080624187,0.2945591649,0.3822294079,0.471097192,0.5212420132,0.5669338083,0.5873441676,0.5427623992,0.554146708,0.5838721193,0.5935052193,0.640499261,0.6664445185,0.6824332274,0.7004377736,0.720865038,0.8361921098,0.9276437848,1.126690035,1.099846878,1.041040219,1.274214241,1.274214241,1.274214241,,
Benin,BEN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,58.18181818,58.92829926,59.61466126,60.24788574,60.83391351,61.37783164,61.88590966,62.3597948,62.80282638,63.21792261,61.0113028,58.7039854,56.28891656,53.75836787,51.10385369,48.31603616,45.38461538,42.53347065,40.01937985,37.78591034,35.78856153,33.99176955,32.36677116,30.89005236,29.54220315,28.30705963,27.17105263,26.12270715,25.15225335,24.2513212,23.41269841,24.68619247,25.21367521,25.21367521,25.21367521,25.21367521,,
Burkina Faso,BFA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,79.31034483,79.53552997,79.74313327,79.93513646,80.11323425,80.27888446,80.43717349,80.58510638,79.97020128,79.41239545,78.90408853,78.43897174,78.01176471,77.61801411,66.08292701,58.01442216,57.14790263,55.60254817,54.13857003,52.74970534,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,51.43031785,,
Bangladesh,BGD,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,,
Bulgaria,BGR,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.46674027,22.07111106,29.18543133,28.37610039,27.53383144,26.65657194,25.74209523,24.78798158,23.79159691,22.75006839,21.66025688,20.51872526,19.32170227,14.83233902,11.27636971,15.95792366,13.62503812,13.60562197,13.58571812,11.27636971,15.81341908,16.27675216,15.76086045,16.44453493,16.61242345,15.08778347,13.51612783,14.72270579,15.95185808,14.75786497,13.34562212,14.7178163,14.94977349,,
